,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Top
3994,2000,Faith Hill,Breathe,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,250547,4,62,1
3995,2000,Santana featuring Rob Thomas,Smooth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3996,2000,Santana featuring The Product G&B,Maria Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3997,2000,Joe,I Wanna Know,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693,4,64,1
3998,2000,Vertical Horizon,Everything You Want,0.637,0.759,3,-6.389,0,0.0305,0.0504,0,0.0642,0.741,93.898,257067,4,65,1
3999,2000,Destinys Child,Say My Name,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333,4,0,1
4000,2000,Savage Garden,I Knew I Loved You,0.556,0.517,9,-8.769,1,0.0287,0.307,0.00115,0.077,0.779,169.938,251253,4,64,1
4001,2000,Lonestar,Amazed,0.557,0.553,1,-7.954,1,0.0319,0.247,0,0.125,0.253,139.821,239987,4,65,1
4002,2000,Matchbox Twenty,Bent,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,256133,4,52,1
4003,2000,Toni Braxton,He Wasnt Man Enough,0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99E-05,0.326,0.763,88.009,261933,4,65,1
4004,2000,Creed,Higher,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.826,316733,4,65,1
4005,2000,Aaliyah,Try Again,0.635,0.841,1,-6.369,0,0.15,0.263,0,0.163,0.915,93.051,284240,4,32,1
4006,2000,Destinys Child,"Jumpin, Jumpin",0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,70,1
4007,2000,Sisqó,Thong Song,0.701,0.885,2,-6.81,1,0.0614,0.132,0.000197,0.0657,0.741,121.54,253733,4,65,1
4008,2000,3 Doors Down,Kryptonite,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12E-05,0.168,0.543,99.01,233933,4,77,1
4009,2000,Pink,There You Go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4010,2000,Madonna,Music,0.734,0.833,7,-8.166,1,0.0644,0.00132,0.0824,0.2,0.862,119.847,224240,4,44,1
4011,2000,Janet Jackson,Doesnt Really Matter,0.773,0.8,5,-2.875,0,0.0825,0.0791,0.00259,0.11,0.791,99.293,264973,4,43,1
4012,2000,Christina Aguilera,What a Girl Wants,0.754,0.819,0,-6.833,1,0.112,0.0684,0,0.345,0.818,142.137,215800,4,62,1
4013,2000,Brian McKnight,Back at One,0.649,0.357,11,-9.09,1,0.0307,0.542,0,0.151,0.241,129.798,263667,4,70,1
4014,2000,N Sync,Bye Bye Bye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4015,2000,Marc Anthony,You Sang to Me,0.61,0.902,0,-5.147,1,0.0726,0.128,0,0.165,0.738,92.965,353707,4,59,1
4016,2000,Marc Anthony,I Need to Know,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75E-06,0.112,0.792,115.061,227707,4,58,1
4017,2000,Montell Jordan,Get It On Tonite,0.806,0.494,10,-9.973,0,0.0786,0.278,4.69E-05,0.0633,0.861,99.003,277413,4,52,1
4018,2000,Sisqó,Incomplete,0.75,0.446,1,-8.059,0,0.0759,0.282,0,0.119,0.291,119.489,274227,4,61,1
4019,2000,Macy Gray,I Try,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,4,72,1
4020,2000,N Sync,Its Gonna Be Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4021,2000,Celine Dion,Thats The Way It Is,0.635,0.88,9,-5.405,1,0.0452,0.141,0,0.125,0.596,93.043,241373,4,54,1
4022,2000,Nelly,Country Grammar (Hot Shit),0.872,0.673,2,-6.879,1,0.108,0.00802,0,0.155,0.527,162.781,287000,4,68,1
4023,2000,Blaque,Bring It All to Me,0.695,0.579,0,-5.066,1,0.0325,0.000479,0,0.0556,0.726,88.957,218187,4,49,1
4024,2000,Backstreet Boys,Show Me the Meaning of Being Lonely,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,234960,4,65,1
4025,2000,"Missy Elliott featuring Nas, Eve and Q-Tip",Hot Boyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4026,2000,BBMak,Back Here,0.618,0.941,7,-3.119,1,0.0341,0.0796,2.51E-06,0.0755,0.929,104.774,218200,4,50,1
4027,2000,Sonique,It Feels So Good,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867,4,48,1
4028,2000,Nine Days,Absolutely (Story of a Girl),0.481,0.94,7,-5.204,1,0.066,0.000891,0,0.0939,0.66,96.493,189333,4,65,1
4029,2000,Creed,With Arms Wide Open,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800,4,62,1
4030,2000,Enrique Iglesias,Be with You,0.696,0.872,1,-5.417,0,0.0328,0.0315,0.000769,0.0411,0.55,122.009,220160,4,53,1
4031,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,203333,4,63,1
4032,2000,Ruff Endz,No More,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,242560,4,50,1
4033,2000,Blink 182,All The Small Things,0.439,0.891,0,-4.764,1,0.057,0.0122,0,0.547,0.695,148.599,168000,4,79,1
4034,2000,Faith Hill,The Way You Love Me,0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.734,101.99,186067,4,41,1
4035,2000,Christina Aguilera,I Turn To You,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,273707,4,56,1
4036,2000,Third Eye Blind,Never Let You Go,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240,4,61,1
4037,2000,LeAnn Rimes,I Need You,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705,229827,4,51,1
4038,2000,Mariah Carey featuring Joe and 98 Degrees,Thank God I Found You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4039,2000,Jagged Edge,Lets Get Married,0.761,0.627,1,-5.554,1,0.0538,0.175,0,0.128,0.891,109.821,263227,4,57,1
4040,2000,Whitney Houston,My Love Is Your Love,0.77,0.475,7,-9.512,1,0.159,0.0557,4.81E-06,0.0607,0.474,82.511,261573,4,55,1
4041,2000,Smash Mouth,Then The Morning Comes,0.736,0.868,5,-4.972,0,0.0289,0.024,0,0.0735,0.961,118.599,182267,4,45,1
4042,2000,Eiffel 65,Blue (Da Ba Dee),0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748,4,71,1
4043,2000,Sting featuring Cheb Mami,Desert Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4044,2000,Eminem,The Real Slim Shady,0.95,0.665,5,-4.286,0,0.061,0.0339,0,0.0453,0.76,104.504,284200,4,72,1
4045,2000,Pink,Most Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4046,2000,Next,Wifey,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,243159,4,61,1
4047,2000,Everclear,Wonderful,0.514,0.817,7,-6.489,1,0.05,0.0118,8.25E-06,0.346,0.734,186.765,280813,4,55,1
4048,2000,Britney Spears,Oops!... I Did It Again,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,211160,4,75,1
4049,2000,Jessica Simpson,I Wanna Love You Forever,0.59,0.666,4,-4.047,0,0.0244,0.156,0,0.136,0.0743,104.042,263800,4,53,1
4050,2000,98 Degrees,Give Me Just One Night (Una Noche),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4051,2000,Filter,Take a Picture,0.446,0.762,2,-8.971,1,0.0422,0.000103,7.20E-05,0.26,0.276,98.993,359520,4,60,1
4052,2000,Red Hot Chili Peppers,Otherside,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,77,1
4053,2000,Jay-Z featuring UGK,Big Pimpin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4054,2000,Son by Four,A Puro Dolor,0.56,0.544,0,-10.171,1,0.0465,0.342,0,0.203,0.347,149.695,210187,4,60,1
4055,2000,Jagged Edge,He Cant Love U,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,244053,4,48,1
4056,2000,Avant,Separated,0.793,0.49,0,-6.241,1,0.0273,0.284,0,0.262,0.632,108.238,255600,4,55,1
4057,2000,Carl Thomas,I Wish,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824,226760,4,61,1
4058,2000,Donell Jones,U Know Whats Up,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,243733,4,62,1
4059,2000,soulDecision featuring Thrust,Faded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4060,2000,Kid Rock,Only God Knows Why,0.628,0.749,4,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,327667,4,57,1
4061,2000,Mystikal,Shake Ya Ass,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,256973,4,52,1
4062,2000,Erykah Badu,Bag Lady,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,348893,4,52,1
4063,2000,Train,Meet Virginia,0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58E-06,0.118,0.594,90.02,239933,4,66,1
4064,2000,DMX,Party Up (Up in Here),0.736,0.834,1,-3.052,0,0.0969,0.077,0,0.407,0.234,100.979,297040,4,53,1
