	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Artist Popilarity	Song Popularity	Duration_ms	Time Signature
0	2010	Weezer	Hurley	0.629	0.828	0	-5.721	1	0.047	0.00119	0.0	0.228	0.963	121.976	75	31	208187	4
1	2010	Týr	By the Light of the Northern Star	0.435	0.939	11	-4.906	0	0.0611	8.18e-05	0.528	0.322	0.706	197.87	60	34	289427	3
2	2009	Alex Campos	Te Puedo Sentir	0.576	0.967	11	-4.173	1	0.0608	0.00326	0.0	0.753	0.292	103.064	62	36	230947	4
3	2004	Strung Out	Exile in Oblivion	0.475	0.98	2	-3.846	1	0.075	5.76e-05	0.77	0.143	0.552	107.036	50	29	210693	4
4	2009	Various Artists	Cubana Celebration	0.394	0.374	5	-12.22	1	0.038	0.337	0.0	0.336	0.645	134.336	8	34	219760	3
5	2017	Reba McEntire	My Kind Of Christmas	0.269	0.213	7	-9.423	1	0.0306	0.892	0.0	0.105	0.143	109.47	62	49	247747	3
6	2000	Nine Inch Nails	Fixed	0.572	0.88	0	-10.254	1	0.0621	0.000916	0.742	0.724	0.119	119.873	69	21	368800	4
7	2000	Bibi und Tina	Folge 38: Der Glücksbringer	0.71	0.516	1	-15.625	1	0.9	0.568	0.0	0.533	0.681	121.078	76	28	93180	5
8	2003	The Format	Interventions and Lullabies	0.335	0.821	1	-4.241	0	0.0307	0.0029	0.000246	0.0672	0.664	79.622	44	26	198667	4
9	2009	AFI	Crash Love	0.237	0.915	8	-5.866	0	0.0799	8.34e-05	0.0257	0.139	0.339	128.939	64	32	225267	4
10	2004	Emerson Drive	What If?	0.632	0.744	0	-5.762	1	0.0267	0.00602	0.0	0.336	0.27	115.967	48	25	206667	4
11	2008	DJ Khaled	We Global	0.64	0.883	5	-4.011	0	0.0497	0.00866	0.0	0.488	0.379	130.005	82	48	272093	4
