,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
0,2003,Coldplay,2000 Miles,0.47,0.32,7,-10.538,1,0.0312,0.929,0.249,0.11,0.351,117.512,35,89,195717,4
1,2005,The Jacka,Girls Say,0.819,0.711,11,-4.416,0,0.249,0.0445,0.0,0.0641,0.598,94.694,34,50,200240,4
2,2004,Marco Borsato,Lentesneeuw,0.378,0.259,1,-16.336,0,0.027,0.678,0.0602,0.106,0.0987,92.868,29,65,281240,4
3,2005,Smash Mouth,Hang On,0.665,0.882,0,-4.852,1,0.0546,0.0112,0.0,0.0986,0.794,138.01,32,71,173787,4
4,2017,Yuri,Ya No Vives en Mí (Primera Fila) - En Vivo,0.548,0.593,0,-6.296,1,0.0361,0.478,2.43e-06,0.436,0.506,94.084,65,73,261333,4
5,2005,Ana Carolina,São Gonça,0.493,0.537,7,-7.887,1,0.0493,0.781,0.0,0.982,0.507,109.541,48,62,297067,4
6,2012,Chief Keef,I Don't Like,0.74,0.843,2,-4.697,1,0.0501,0.000682,0.0,0.0614,0.434,131.997,33,75,293840,4
7,2017,YNW Melly,Legendary,0.647,0.705,0,-7.715,1,0.043,0.013,0.0,0.189,0.332,111.993,46,74,130224,4
8,2000,Bob Marley & The Wailers,Natural Mystic,0.66,0.515,7,-9.086,1,0.103,0.235,6e-06,0.0987,0.554,153.694,34,81,339893,4
9,2014,J. Cole,G.O.M.D.,0.9,0.38,10,-10.487,0,0.189,0.328,3.36e-05,0.312,0.346,128.019,36,88,301133,4
10,2011,Conjunto Atardecer,El Punto Final,0.731,0.873,2,-3.123,0,0.0428,0.212,0.0,0.131,0.429,126.947,48,50,203120,4
11,2016,Kelly Clarkson,It's Quiet Uptown,0.736,0.452,10,-8.802,1,0.0377,0.453,0.0,0.17,0.358,128.029,47,79,277887,4
12,2004,John Mayer,New Deep - Live at the Shoreline Amphitheater,0.565,0.617,2,-9.813,1,0.0446,0.205,0.000152,0.839,0.703,147.106,26,84,338840,4
13,2012,Jay Sean,Sex 101,0.461,0.649,0,-7.96,1,0.114,0.0159,0.0,0.299,0.236,98.03,44,67,239027,4
14,2011,Art Of Dying,Die Trying,0.313,0.901,1,-3.266,0,0.106,0.000198,0.0,0.576,0.427,110.819,49,52,229560,4
15,2001,Cri-Cri,La Patita,0.674,0.443,0,-10.04,1,0.0334,0.938,0.0113,0.161,0.918,109.743,42,52,170800,4
16,2000,Polo Urias,Una Sola Caida,0.389,0.714,10,-4.937,1,0.0342,0.104,0.0,0.0622,0.808,171.532,18,46,191613,3
17,2008,The Revivalists,Concrete (Fish Out Of Water),0.7,0.909,7,-6.606,1,0.0381,0.131,9.35e-06,0.126,0.846,108.082,37,66,201747,4
18,2012,Various Artists,Straight Back,0.4,0.824,9,-6.628,0,0.0584,8.55e-05,0.0682,0.0592,0.62,101.971,30,8,223427,4
