,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Top
0,2000,The Weakerthans,Left and Leaving,0.592,0.513,11,-10.183,1,0.0288,0.477,0.000446,0.107,0.245,116.752,285827,4,39,0
1,2001,Juan Carlos Alvarado,Vivo Para Cristo,0.417,0.493,0,-4.011,1,0.0282,0.731,0,0.201,0.26,108.377,527133,4,48,0
2,2001,Shakira,Laundry Service,0.767,0.828,0,-6.249,0,0.0397,0.184,0.00184,0.114,0.829,121.003,253067,4,50,0
3,2003,Frankie J,Playlist: The Very Best Of Frankie J,0.733,0.405,7,-8.74,1,0.0278,0.291,0,0.365,0.467,100.02,240884,4,36,0
4,2003,Lionel Richie,The Definitive Collection,0.581,0.529,10,-9.664,0,0.0289,0.222,0.00166,0.11,0.328,132.336,254760,4,36,0
5,2002,Gregg Allman,20th Century Masters: The Millennium Collection: Best Of Gregg Allman,0.55,0.383,0,-15.725,1,0.0246,0.202,0.0191,0.117,0.42,86.711,268240,4,38,0
6,2001,TobyMac,Momentum,0.789,0.945,10,-2.206,0,0.0895,0.0212,0.000625,0.147,0.688,100.008,195651,4,34,0
7,2003,Michael Jackson,Number Ones,0.93,0.602,11,-4.433,0,0.0401,0.0192,0.0165,0.0437,0.849,117.086,293200,4,42,0
8,2000,NOFX,Pump Up The Valuum,0.373,0.86,7,-4.298,1,0.0386,2.75E-05,0,0.325,0.72,156.003,109640,4,39,0
9,2001,Aesop Rock,Labor Days,0.564,0.758,11,-6.85,1,0.283,0.0242,0.00109,0.376,0.597,92.674,266107,4,50,0
10,2001,Soundtrack/Cast Album,Above The Rim,0.701,0.7,0,-7.804,1,0.0621,0.0307,0,0.118,0.567,120.618,246520,4,43,0
11,2001,Jennifer Lopez,J.Lo,0.711,0.87,0,-4.513,0,0.0484,0.0804,0.000306,0.138,0.569,99.843,245360,4,41,0
12,2003,Beto Quintanilla,20 Exitos,0.843,0.512,7,-7.853,1,0.0597,0.581,3.47E-06,0.034,0.981,106.203,194653,4,39,0
13,2002,Sigur Rós,(Untitled),0.122,0.246,3,-13.991,1,0.0318,0.791,0.918,0.108,0.0363,85.609,393427,4,51,0
14,2002,Aventura,We Broke The Rules,0.898,0.578,6,-7.947,1,0.0458,0.357,4.56E-05,0.0442,0.961,122.248,264040,4,48,0
15,2000,Da Brat,Unrestricted,0.879,0.681,10,-8.951,0,0.24,0.017,0,0.0669,0.817,99.974,221160,4,47,0
