,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
0,2010,Coheed and Cambria,The Broken,0.439,0.987,8,-3.86,1,0.123,0.00665,0.0,0.305,0.234,147.995,37,67,233128,4
1,2003,Akwid,Hollywood,0.854,0.839,10,-3.462,1,0.291,0.26,0.0,0.339,0.66,93.009,21,56,246173,4
2,2014,Avenged Sevenfold,Desecrate Through Reverence,0.457,0.951,9,-5.428,1,0.0562,0.000117,0.0169,0.536,0.523,94.97,39,77,338027,4
3,2011,Clutch,Cypress Grove,0.659,0.809,5,-3.705,0,0.0526,0.0191,0.0,0.153,0.842,101.995,30,60,165760,4
4,2002,Ms. Lauryn Hill,Interlude 4 - Live,0.654,0.114,1,-27.138,1,0.919,0.437,0.0,0.156,0.439,131.254,35,71,100627,4
5,2008,Anathallo,The River,0.411,0.609,2,-7.723,0,0.0255,0.27,0.052,0.234,0.39,89.205,27,20,283133,4
6,2009,Gabriel Yared,Le cartable et l'aspirateur,0.25,0.146,7,-19.35,1,0.0393,0.908,0.804,0.381,0.0386,123.025,45,52,224720,3
7,2009,Los Inquietos Del Norte,Alma en Pena,0.601,0.719,5,-7.435,1,0.0327,0.105,6.83e-06,0.243,0.677,132.903,30,65,241400,4
8,2003,Jacobo Ramos,Tu Misericordia,0.549,0.44,7,-8.63,1,0.03,0.629,0.0,0.948,0.343,109.787,25,40,287947,4
9,2010,Daft Punk,The Game Has Changed,0.543,0.509,1,-14.745,0,0.0418,0.451,0.734,0.112,0.0694,99.974,47,82,205480,4
10,2006,Hombres G,Dejad Que Las Niñas Se Acerquen A Mi,0.697,0.799,1,-9.292,1,0.0567,0.0316,0.026,0.0895,0.698,147.716,37,71,248546,4
11,2005,Matt Pond PA,Holiday Road,0.474,0.316,7,-11.357,1,0.0323,0.849,0.864,0.0897,0.0807,127.984,37,43,218918,4
12,2000,Grateful Dead,Bertha [Live February 1978],0.651,0.67,7,-12.314,1,0.0485,0.582,0.0103,0.715,0.8,94.631,22,70,402067,4
13,2000,Grupo Limite,Por Encima De Todo,0.732,0.644,9,-6.086,0,0.105,0.253,3.35e-06,0.0254,0.904,160.68,24,55,167667,4
14,2013,"Dschinghis Khan, C.C Catch & Mafikizolo",Khona (feat. Uhuru),0.758,0.655,10,-7.179,0,0.0494,0.0585,0.0462,0.189,0.442,125.016,39,0,295813,4
15,2001,No Doubt,Rock Steady,0.661,0.62,0,-7.166,1,0.039,0.0421,1.15e-05,0.103,0.668,81.125,36,70,322147,4
16,2007,Wiz Khalifa,Youngin On His Grind,0.534,0.621,1,-5.722,1,0.0529,0.0282,0.0,0.0906,0.0974,166.118,28,88,229867,4
17,2011,Boom Clap Bachelors,Løb Stop Stå (feat. Coco O.),0.493,0.336,0,-13.992,1,0.218,0.864,0.00179,0.115,0.277,93.603,44,36,288618,4
18,2003,Sawyer Brown,800 Pound Jesus,0.72,0.59,2,-7.44,1,0.0282,0.335,0.0,0.152,0.908,122.143,21,52,174267,4
19,2007,Aurelio Voltaire,Land of the Dead,0.6,0.844,2,-1.953,1,0.0588,0.527,0.0,0.201,0.72,99.887,28,51,118947,4
20,2008,Shinedown,If You Only Knew,0.449,0.956,9,-4.011,0,0.0398,0.000347,0.0,0.325,0.321,97.011,44,75,226640,4
21,2000,Various Artists,Chocolate Elvis,0.784,0.648,10,-10.725,0,0.0439,0.0548,0.174,0.309,0.441,96.906,37,8,307760,4
22,2002,Paul Oakenfold,Starry Eyed Surprise,0.721,0.794,4,-6.134,1,0.132,0.0195,0.00013,0.283,0.562,103.211,39,52,228493,4
23,2016,Korn,Black Is The Soul,0.465,0.946,9,-4.205,1,0.068,1.77e-05,0.0844,0.134,0.338,133.802,53,74,241147,4
24,2008,Choke,Cudebebadoñtemdono - Remastered,0.465,0.942,8,-3.495,1,0.203,0.00208,0.766,0.185,0.48,120.591,47,49,38452,4
25,2017,Whize,I Watched Her Leave,0.655,0.493,11,-11.757,0,0.491,0.35,0.0,0.54,0.44,83.079,51,45,176588,4
26,2009,Matt Redman,You Alone Can Rescue,0.342,0.568,11,-6.97,1,0.0283,0.0187,1.23e-05,0.0984,0.188,75.979,39,62,288213,4
27,2016,Anuel Aa,47,0.749,0.667,11,-6.065,1,0.105,0.0806,0.0,0.117,0.333,145.914,58,92,253973,4
28,2014,Rivers & Robots,We Have Overcome,0.655,0.611,0,-8.557,1,0.0284,0.256,0.0022,0.102,0.216,119.952,42,53,264604,4
