	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Song Popularity	Duration_ms	Time Signature
0	2000	The Weakerthans	Left and Leaving	0.592	0.513	11	-10.183	1	0.0288	0.477	0.000446	0.107	0.245	116.752	39	285827	4
1	2001	Juan Carlos Alvarado	Vivo Para Cristo	0.417	0.493	0	-4.011	1	0.0282	0.731	0.0	0.201	0.26	108.377	48	527133	4
2	2001	Shakira	Laundry Service	0.767	0.828	0	-6.249	0	0.0397	0.184	0.00184	0.114	0.829	121.003	50	253067	4
3	2003	Frankie J	Playlist: The Very Best Of Frankie J	0.733	0.405	7	-8.74	1	0.0278	0.291	0.0	0.365	0.467	100.02	36	240884	4
4	2003	Lionel Richie	The Definitive Collection	0.581	0.529	10	-9.664	0	0.0289	0.222	0.00166	0.11	0.328	132.336	36	254760	4
5	2002	Gregg Allman	20th Century Masters: The Millennium Collection: Best Of Gregg Allman	0.55	0.383	0	-15.725	1	0.0246	0.202	0.0191	0.117	0.42	86.711	38	268240	4
6	2001	TobyMac	Momentum	0.789	0.945	10	-2.206	0	0.0895	0.0212	0.000625	0.147	0.688	100.008	34	195651	4
7	2003	Michael Jackson	Number Ones	0.93	0.602	11	-4.433	0	0.0401	0.0192	0.0165	0.0437	0.849	117.086	42	293200	4
8	2000	NOFX	Pump Up The Valuum	0.373	0.86	7	-4.298	1	0.0386	2.75e-05	0.0	0.325	0.72	156.003	39	109640	4
9	2001	Aesop Rock	Labor Days	0.564	0.758	11	-6.85	1	0.283	0.0242	0.00109	0.376	0.597	92.674	50	266107	4
10	2001	Soundtrack/Cast Album	Above The Rim	0.701	0.7	0	-7.804	1	0.0621	0.0307	0.0	0.118	0.567	120.618	43	246520	4
11	2001	Jennifer Lopez	J.Lo	0.711	0.87	0	-4.513	0	0.0484	0.0804	0.000306	0.138	0.569	99.843	41	245360	4
12	2003	Beto Quintanilla	20 Exitos	0.843	0.512	7	-7.853	1	0.0597	0.581	3.47e-06	0.034	0.981	106.203	39	194653	4
13	2002	Sigur Rós	(Untitled)	0.122	0.246	3	-13.991	1	0.0318	0.791	0.918	0.108	0.0363	85.609	51	393427	4
14	2002	Aventura	We Broke The Rules	0.898	0.578	6	-7.947	1	0.0458	0.357	4.56e-05	0.0442	0.961	122.248	48	264040	4
15	2000	Da Brat	Unrestricted	0.879	0.681	10	-8.951	0	0.24	0.017	0.0	0.0669	0.817	99.974	47	221160	4
16	2000	Five For Fighting	America Town	0.382	0.416	0	-9.303	1	0.0302	0.0733	0.0	0.0719	0.125	102.089	66	221693	4
17	2001	Bob Dylan	Love And Theft	0.537	0.724	0	-7.505	1	0.0281	0.227	2.25e-05	0.114	0.697	79.583	40	321093	4
18	2003	Thompson Twins	Platinum & Gold Collection	0.822	0.962	7	-5.29	0	0.0492	0.076	0.00729	0.351	0.965	131.443	39	191467	4
19	2001	Barbra Streisand	Christmas Memories	0.238	0.334	8	-10.941	1	0.0313	0.917	0.000119	0.0398	0.136	85.288	37	252093	3
20	2002	Keith Urban	Golden Road	0.656	0.792	2	-6.65	1	0.039	0.171	0.0016	0.0357	0.885	119.791	40	255747	4
21	2000	M.O.P.	Warriorz	0.68	0.894	1	-4.86	1	0.255	0.0206	0.0	0.462	0.803	94.089	58	247693	4
22	2001	Jadakiss	Kiss Tha Game Goodbye	0.79	0.88	0	-6.414	0	0.384	0.113	0.0	0.29	0.605	101.944	35	207540	4
23	2002	Joe Hisaishi	The Tokyo Concert	0.326	0.101	0	-21.534	1	0.0385	0.949	0.882	0.0403	0.0891	143.289	54	292093	4
24	2003	My Morning Jacket	It Still Moves (Deluxe Reissue)	0.242	0.838	5	-6.052	1	0.061	0.106	0.0852	0.713	0.418	118.185	34	355853	4
25	2002	Interpol	Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered)	0.267	0.967	4	-4.852	0	0.0609	3e-05	0.702	0.0911	0.266	145.543	38	215520	4
26	2003	Sheryl Crow	The Very Best Of	0.715	0.711	4	-5.656	1	0.0434	0.0557	0.0	0.12	0.679	119.973	38	291867	4
27	2002	The Black Keys	The Big Come Up	0.52	0.82	2	-6.023	0	0.145	0.136	0.00813	0.325	0.495	120.883	47	153987	4
28	2003	Various Artists	Mullets Rock!	0.487	0.905	11	-7.001	0	0.102	0.00535	0.00218	0.0647	0.685	117.417	37	237960	4
29	2001	Alex Ubago	Que pides tu? (con bonus track para Argentina)	0.583	0.527	7	-7.998	1	0.0273	0.473	0.0	0.117	0.457	105.413	57	273293	4
30	2001	Harry Gregson-Williams	Shrek (Original Motion Picture Score)	0.0984	0.182	8	-18.739	1	0.0349	0.648	0.197	0.513	0.103	86.706	55	86693	3
31	2000	Dispatch	Who Are We Living for?	0.684	0.312	2	-13.727	1	0.0386	0.781	0.533	0.121	0.547	170.225	38	191533	4
32	2001	Travis	The Invisible Band	0.455	0.849	7	-5.461	0	0.0284	0.000493	1.52e-05	0.466	0.533	90.955	56	239240	4
33	2000	Queens of the Stone Age	Rated R	0.305	0.495	10	-5.116	1	0.0428	0.45	0.577	0.258	0.443	70.831	38	520173	4
34	2001	Los Acosta	Volando En Una Nave Triste	0.799	0.739	2	-6.452	0	0.0245	0.246	0.0168	0.273	0.961	102.071	51	196373	4
35	2002	Theory of a Deadman	Theory of a Deadman [Special Edition]	0.537	0.925	6	-4.755	1	0.0818	6.27e-05	3.08e-06	0.305	0.585	142.065	35	161893	4
36	2001	Alison Krauss & Union Station	New Favorite	0.434	0.359	10	-11.278	1	0.032	0.831	0.000102	0.115	0.739	168.826	44	190467	4
37	2003	The Outlaws	Platinum & Gold Collection	0.167	0.948	9	-4.73	0	0.16	0.121	0.0112	0.852	0.158	157.81	40	346933	4
38	2002	India.Arie	Voyage To India - Special Edition	0.655	0.465	9	-10.252	0	0.233	0.29	8.94e-06	0.098	0.268	95.876	45	209853	4
39	2001	Nickelback	Silver Side Up	0.478	0.85	9	-6.195	1	0.0705	0.00213	1.76e-05	0.0306	0.667	172.251	39	234427	4
40	2003	Sean Hayes	Alabama Chicken	0.758	0.565	6	-10.127	1	0.045	0.758	9.05e-06	0.126	0.781	113.595	39	294587	4
41	2001	Los Bukis	Y Para Siempre ...	0.692	0.345	11	-18.031	0	0.0323	0.0233	0.0	0.0641	0.588	95.212	40	305933	3
42	2003	Kid Rock	Kid Rock	0.634	0.892	7	-5.213	1	0.102	0.0111	1.09e-05	0.673	0.679	117.306	41	192293	4
43	2002	Atreyu	Suicide Notes And Butterfly Kisses	0.274	0.809	8	-7.146	1	0.0818	0.00024	0.0206	0.281	0.207	168.48	46	304613	4
44	2001	Aesop Rock	Labor Days	0.629	0.592	8	-8.741	0	0.476	0.552	0.00791	0.131	0.883	79.727	40	152827	4
45	2000	Whitney Houston	Whitney The Greatest Hits	0.77	0.474	7	-9.582	1	0.169	0.0484	2.66e-06	0.061	0.445	82.505	40	259827	4
46	2003	50 Cent	Get Rich Or Die Tryin	0.908	0.67	6	-3.947	0	0.346	0.353	0.0	0.0872	0.801	90.016	43	193467	4
47	2002	Nirvana	Nirvana	0.519	0.815	4	-6.349	0	0.0354	0.000105	0.00261	0.0993	0.497	119.944	37	219040	4
48	2001	Clint Black	Greatest Hits II	0.507	0.411	10	-8.657	1	0.0276	0.308	0.0	0.106	0.184	102.806	54	268960	3
49	2003	Phil Collins	Brother Bear	0.391	0.704	9	-8.258	1	0.0401	0.0849	4.98e-06	0.11	0.389	158.258	45	240467	3
50	2003	Mark Ronson	Here Comes The Fuzz	0.727	0.961	4	-3.761	0	0.098	0.0278	7.85e-06	0.334	0.8	105.031	50	209627	4
51	2001	2Pac	Until The End Of Time	0.844	0.811	9	-5.459	0	0.0438	0.185	0.0	0.0824	0.783	105.326	37	252000	4
52	2000	Bonobo	Animal Magic	0.551	0.328	10	-16.384	1	0.0345	0.78	0.928	0.111	0.0396	152.003	42	279933	4
53	2001	Damian Marley	Halfway Tree	0.7	0.731	4	-5.064	0	0.273	0.0271	0.0	0.765	0.51	81.348	49	361067	4
54	2000	Mirwais	Production (Deluxe Version)	0.708	0.644	0	-5.991	0	0.0462	0.00713	0.754	0.0506	0.578	104.985	43	218107	4
55	2001	Dropkick Murphys	Sing Loud, Sing Proud	0.126	0.915	7	-3.157	1	0.0634	0.000121	0.0	0.565	0.493	189.052	41	205613	3
56	2001	Blake Shelton	Blake Shelton	0.605	0.609	7	-7.063	1	0.0278	0.188	0.0	0.0982	0.275	119.914	60	230333	4
57	2001	Los Originales De San Juan	El Jardinero (14 Corridazos Para El Pueblo)	0.744	0.787	5	-6.842	1	0.0403	0.155	0.0	0.0962	0.915	115.452	45	188667	4
58	2002	India.Arie	Voyage To India - Special Edition	0.655	0.465	9	-10.252	0	0.233	0.29	8.94e-06	0.098	0.268	95.876	45	209853	4
59	2003	Various Artists	The Lord Of The Rings - The Return Of The King - The Complete Recordings (Limited Edition)	0.144	0.0307	7	-30.109	1	0.0372	0.949	0.82	0.0898	0.0358	93.727	44	178427	3
60	2001	Usher	8701	0.816	0.5	1	-4.551	1	0.03	0.0227	1.53e-06	0.0733	0.649	124.037	70	247840	4
61	2002	Blackalicious	Blazing Arrow	0.712	0.747	10	-9.149	1	0.404	0.257	1.61e-05	0.607	0.851	185.127	38	159960	4
62	2002	Martin O'Donnell	Halo: Original Soundtrack	0.655	0.235	9	-12.506	1	0.0323	0.778	0.984	0.116	0.677	146.996	34	95000	3
63	2003	Lionel Richie	The Definitive Collection	0.339	0.291	1	-9.841	1	0.0326	0.451	2.83e-06	0.0921	0.198	137.385	35	200413	4
64	2000	St Germain	Tourist [Remastered] (Remastered Version)	0.677	0.959	8	-10.251	1	0.0514	0.488	0.633	0.102	0.909	121.993	46	354716	4
65	2001	Grupo Romance	Porque Te Amo	0.561	0.804	7	-5.459	1	0.0347	0.198	0.0	0.0749	0.535	73.01	37	193253	4
66	2000	QB Finest	Nas & Ill Will Records Presents Queensbridge the album	0.64	0.721	7	-6.955	1	0.322	0.0564	0.000842	0.774	0.714	93.346	47	297907	4
67	2002	Thirty Seconds To Mars	30 Seconds To Mars	0.597	0.732	2	-7.607	1	0.0373	0.00588	0.0155	0.135	0.0765	115.075	40	349747	4
68	2003	Kings of Leon	Youth And Young Manhood	0.692	0.727	11	-5.019	0	0.0413	0.0108	1.36e-05	0.187	0.879	122.619	40	165507	4
69	2000	Various Artists	Coyote Ugly	0.586	0.679	0	-6.697	1	0.043	0.654	0.000331	0.0743	0.608	79.921	44	201093	4
70	2000	John Coltrane	The Very Best Of John Coltrane	0.62	0.203	8	-15.599	0	0.0341	0.798	0.501	0.0649	0.27	116.8	37	487280	4
71	2001	Jennifer Lopez	J.Lo	0.784	0.836	4	-5.134	0	0.0896	0.00292	1.77e-06	0.426	0.661	97.524	40	221227	4
72	2003	Original Soundtrack	House Of 1000 Corpses	0.58	0.874	5	-5.415	0	0.0354	0.000165	0.893	0.106	0.423	112.997	33	223573	4
73	2002	Nine Inch Nails	Still	0.574	0.427	11	-11.68	1	0.0254	0.611	0.948	0.117	0.221	140.031	36	374893	1
74	2002	The Band	The Last Waltz	0.229	0.533	9	-8.26	1	0.0674	0.615	0.0252	0.711	0.348	65.524	39	234067	4
75	2001	Radiohead	I Might Be Wrong	0.374	0.483	5	-8.821	1	0.0367	0.455	0.00298	0.689	0.0639	113.565	50	304920	5
76	2000	Disturbed	The Sickness	0.68	0.846	8	-5.252	1	0.054	0.000753	2.35e-05	0.144	0.926	89.962	52	277853	4
77	2000	UB40	The Very Best Of	0.637	0.837	2	-8.605	1	0.0363	0.0393	0.00294	0.142	0.825	172.455	49	208097	4
78	2002	Breaking Benjamin	Saturate	0.465	0.9	8	-5.721	1	0.0489	0.00176	0.0108	0.111	0.509	148.109	38	215840	4
79	2003	Various Artists	Freestyle's Best Extended Versions Volumes 1 & 2	0.807	0.699	10	-9.27	0	0.0517	0.0122	0.626	0.061	0.859	115.231	34	372333	4
80	2001	Nas	Stillmatic	0.573	0.831	7	-5.586	1	0.433	0.0401	0.0	0.0909	0.766	76.352	53	277707	4
81	2002	Something Corporate	Leaving Through The Window	0.489	0.751	11	-5.894	1	0.0333	0.00316	0.0	0.0788	0.531	102.14	34	229427	4
82	2000	A Perfect Circle	Mer De Noms	0.518	0.743	9	-8.247	1	0.0373	0.00383	0.0069	0.078	0.211	144.024	58	219640	3
83	2003	Stars	Heart	0.563	0.88	0	-5.275	1	0.0249	0.00988	2.68e-05	0.446	0.86	101.976	37	243147	4
84	2002	B2K	Pandemonium!	0.834	0.685	1	-5.862	0	0.226	0.0998	0.0	0.0514	0.877	95.509	57	278573	4
85	2002	People Under The Stairs	Acid Raindrops	0.885	0.551	1	-9.794	1	0.24	0.116	0.00864	0.0736	0.66	96.1	48	238421	4
