	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration_ms	Time Signature
0	2018	Billie Eilish	COPYCAT (Sofi Tukker Remix)	0.682	0.955	4	-5.02	0	0.0591	0.0585	3.18e-05	0.226	0.451	124.999	198684	4
1	2009	Michael Bublé	Crazy Love	0.615	0.733	8	-4.808	1	0.0335	0.152	0.0	0.109	0.796	122.58	244587	4
2	2016	Ariana Grande	Dangerous Woman	0.637	0.733	7	-4.387	0	0.0553	0.0152	0.0	0.162	0.432	131.005	194840	4
3	2009	Five Finger Death Punch	War Is the Answer	0.557	0.886	11	-4.196	0	0.0498	0.000595	9.84e-05	0.0904	0.17	114.025	262440	4
4	2016	Hoodie Allen	Happy Camper	0.671	0.699	6	-4.224	0	0.0647	0.00453	0.000277	0.173	0.379	72.946	188040	4
5	2017	Mac Ayres	Drive Slow	0.722	0.282	5	-7.484	1	0.106	0.373	0.00557	0.147	0.217	91.367	314358	4
6	2014	ScHoolboy Q	Oxymoron (Deluxe)	0.709	0.589	8	-7.776	0	0.0433	0.0507	0.0	0.0585	0.58	133.922	278067	3
7	2018	Mumford & Sons	Delta	0.44	0.492	2	-9.532	0	0.0359	0.264	0.0114	0.0917	0.0632	99.966	269868	4
8	2007	Kanye West	Graduation	0.435	0.802	1	-6.871	1	0.324	0.00376	0.0	0.467	0.454	84.267	207000	4
9	2007	Beyoncé	B'Day Deluxe Edition	0.447	0.694	7	-4.637	0	0.382	0.0293	5.46e-06	0.167	0.509	175.868	227853	4
10	2017	Young Scooter	Jugg King	0.837	0.557	8	-5.771	1	0.25	0.0879	0.0	0.111	0.301	143.027	247066	4
11	2016	Vic Mensa	There's Alot Going On	0.598	0.441	6	-7.128	0	0.155	0.0579	0.0	0.0635	0.481	79.175	258120	4
12	2017	Chris Young	Losing Sleep	0.584	0.621	1	-5.703	1	0.0443	0.0715	1.68e-06	0.389	0.634	92.003	178253	4
13	2018	Logic	YSIV	0.703	0.807	1	-4.936	1	0.315	0.146	0.0	0.379	0.768	90.933	487960	4
14	2017	potsu	im closing my eyes	0.895	0.109	0	-13.853	0	0.0996	0.534	0.549	0.106	0.546	134.067	118302	4
15	2018	XXXTENTACION	?	0.606	0.349	2	-10.032	1	0.198	0.0762	0.0711	0.1	0.239	180.055	80190	4
16	2014	J. Cole	2014 Forest Hills Drive	0.502	0.623	8	-8.812	1	0.441	0.609	0.0	0.119	0.399	75.555	211680	1
17	2014	Clean Bandit	Rather Be (feat. Jess Glynne)	0.799	0.586	11	-6.735	1	0.0377	0.162	2.03e-06	0.193	0.549	120.97	227833	4
18	2018	RM	mono.	0.536	0.559	0	-6.826	1	0.0501	0.00135	0.016	0.132	0.0964	85.971	194384	4
19	2016	BTS	The Most Beautiful Moment in Life: Young Forever	0.627	0.706	10	-3.201	0	0.0597	0.00227	0.0	0.122	0.536	99.93	203352	4
20	2018	Lauren Jauregui	Expectations	0.576	0.443	4	-7.477	0	0.0754	0.00923	1.88e-06	0.124	0.452	180.08	204067	3
21	2018	Post Malone	beerbongs & bentleys	0.341	0.495	0	-10.251	0	0.0446	0.751	0.462	0.261	0.252	78.395	112013	4
22	2010	Various Artists	Tangled	0.673	0.42	4	-7.581	1	0.0317	0.112	0.0	0.0897	0.385	108.066	152333	4
23	2016	Yung Gravy	Mr. Clean - EP	0.717	0.76	9	-4.892	1	0.164	0.786	0.000188	0.107	0.669	106.32	210861	4
24	2018	6ix9ine	BEBE	0.635	0.902	0	-3.559	1	0.109	0.172	0.0	0.125	0.286	102.063	217822	4
25	2017	Lady Gaga	The Cure	0.697	0.506	8	-4.863	1	0.0325	0.0792	0.0	0.0893	0.516	100.002	211364	4
26	2015	Drake	If You're Reading This It's Too Late	0.735	0.41	11	-8.735	0	0.2	0.19	0.0	0.341	0.164	114.812	275840	4
27	2014	Beyoncé	BEYONCÉ [Platinum Edition]	0.589	0.621	5	-6.902	0	0.0468	0.00969	0.00104	0.181	0.401	140.03	323480	4
28	2018	Foster The People	Worst Nites	0.741	0.752	2	-4.968	1	0.0386	0.00834	0.00165	0.0438	0.609	114.02	211920	4
29	2017	Darius Rucker	When Was The Last Time	0.547	0.804	6	-5.268	1	0.0361	0.00738	0.0	0.0308	0.666	142.016	197053	4
30	2003	The White Stripes	Elephant	0.737	0.463	0	-7.828	1	0.0792	0.00817	0.447	0.255	0.324	123.881	231733	4
31	2018	Ansel Elgort	Supernova	0.764	0.618	5	-5.492	0	0.0873	0.0596	0.0	0.194	0.655	140.09	191493	4
32	2017	mansionz	Mansionz	0.834	0.551	5	-4.217	1	0.43	0.353	0.0	0.103	0.5	76.938	148494	4
33	2018	Tory Lanez	LoVE me NOw	0.621	0.777	8	-4.75	0	0.151	0.244	0.0	0.449	0.526	138.007	278515	4
34	2018	Tee Grizzley	Still My Moment	0.594	0.827	8	-4.463	1	0.292	0.174	0.0	0.23	0.83	144.701	185379	4
35	2018	Bad Bunny	Dime Si Te Acuerdas	0.734	0.598	1	-9.084	1	0.0647	0.488	0.0	0.166	0.338	131.959	187273	4
36	2018	Lil Baby	Drip Harder	0.823	0.638	7	-6.131	0	0.0852	0.287	0.0	0.105	0.371	141.943	162268	4
37	2018	Ozuna	Aura	0.653	0.859	0	-3.048	1	0.0449	0.212	0.0	0.111	0.705	174.037	218387	4
38	2018	YoungBoy Never Broke Again	Until Death Call My Name Reloaded	0.881	0.581	5	-5.162	1	0.0901	0.631	0.0	0.0986	0.876	78.508	163567	4
39	2012	Bruno Mars	Unorthodox Jukebox	0.874	0.692	5	-5.28	0	0.0431	0.0412	7.24e-05	0.324	0.937	116.017	178560	4
40	2010	B.o.B	B.o.B Presents: The Adventures of Bobby Ray	0.66	0.867	6	-4.285	0	0.116	0.11	0.0	0.0368	0.377	93.033	180480	4
41	2018	Eminem	Kamikaze	0.65	0.639	8	-5.962	1	0.458	0.0942	0.0	0.135	0.563	139.226	150802	4
