	Track	Track_Popularity	Artist_Popularity
0	Theme from A Summer Place	52	50
1	Cathy's Clown	4	61
2	Running Bear	39	34
3	Teen Angel	22	22
4	Handy Man	28	42
5	Stuck on You	59	79
6	The Twist	58	54
7	Wild One	27	45
8	Greenfields	45	48
9	What in the World's Come Over You	29	32
10	El Paso	61	61
11	Alley Oop	4	4
12	My Heart Has a Mind of Its Own	20	55
13	Sweet Nothin's	54	67
14	Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini	50	47
15	Only the Lonely	58	68
16	Where or When	35	52
17	Sixteen Reasons	30	23
18	Puppy Love	40	63
19	Why	29	45
20	Walk, Don't Run	41	49
21	Save the Last Dance for Me	60	62
22	Baby (You've Got What It Takes)	10	11
23	Sink the Bismarck	39	50
24	Chain Gang	54	70
25	Let It Be Me	45	61
26	Good Timin'	22	42
27	Beyond the Sea	63	61
28	Go Jimmy Go	11	27
29	Night	20	62
30	Burning Bridges	22	32
31	The Big Hurt	15	11
32	Because They're Young	10	44
33	Lonely Blue Boy	28	60
34	Pretty Blue Eyes	28	35
35	Way Down Yonder in New Orleans	23	33
36	Mr. Custer	12	13
37	I Want to Be Wanted	32	67
38	Mule Skinner Blues	27	19
39	Cradle of Love	30	34
40	You Got What It Takes	20	27
41	Please Help Me, I'm Falling	49	47
42	Love You So	18	13
43	Finger Poppin' Time	7	28
44	Harbor Lights	36	64
45	Let the Little Girl Dance	20	13
46	Theme From The Apartment	12	38
47	Volare	44	45
48	A Million to One	19	13
49	The Village of St. Bernadette	21	70
50	White Silver Sands	12	22
51	Devil or Angel	28	53
52	Down by the Station	17	33
53	Forever	12	13
54	Kiddio	11	47
55	Mission Bell	7	11
56	I Love The Way You Love	17	27
57	Tell Laura I Love Her	47	39
58	Mama	20	55
59	Footsteps	24	35
60	So Sad	34	61
61	Walking to New Orleans	37	57
62	Among My Souvenirs	25	55
63	Swingin' School	21	45
64	A Rockin' Good Way (To Mess Around and Fall in Love)	35	11
65	Stairway to Heaven	32	57
66	My Home Town	31	63
67	Georgia on My Mind	55	68
68	Cherry Pie	13	12
69	Wonderful World	69	70
70	Lady Luck	27	47
71	Step by Step	12	42
72	Happy-Go-Lucky Me	26	31
73	Young Emotions	23	56
74	Dreamin'	38	42
75	Poetry in Motion	56	48
76	O Dio Mio	8	28
77	You Talk Too Much	21	42
78	Beatnik Fly	6	34
79	When Will I Be Loved	23	61
80	Heartaches by the Number	48	42
81	My Little Corner of the World	16	18
82	Doggin' Around	26	62
83	Little Bitty Girl	28	45
84	Money (That's What I Want)	46	47
85	Stay	56	44
86	Lonely Weekends	18	49
87	Sandy	8	27
88	Stranger on the Shore	42	45
89	I Can't Stop Loving You	29	68
90	Mashed Potato Time	40	35
91	Roses Are Red (My Love)	53	58
92	The Stripper	33	28
93	Johnny Angel	34	29
94	The Loco-Motion	43	47
95	Let Me In	18	23
96	The Twist	58	54
97	Soldier Boy	38	55
98	Hey! Baby	57	45
99	The Wanderer	64	77
100	Duke of Earl	53	44
101	Palisades Park	35	33
102	Breaking Up Is Hard to Do	48	57
103	Wolverton Mountain	38	35
104	It Keeps Right On a-Hurtin'	10	48
105	The One Who Really Loves You	44	57
106	Good Luck Charm	53	79
107	Midnight in Moscow	36	35
108	Sheila	24	43
109	Twistin' the Night Away	59	70
110	The Wah-Watusi	32	29
111	Peppermint Twist	21	33
112	Break It to Me Gently	44	67
113	Playboy	48	58
114	Ramblin' Rose	41	72
115	Sealed with a Kiss	44	47
116	She Cried	27	55
117	Dear Lady Twist	11	32
118	Norman	22	34
119	Love Letters	23	28
120	Party Lights	25	15
121	Cotton Fields	3	55
122	Alley Cat	20	33
123	Twist and Shout	52	66
124	Theme from Dr. Kildare (Three Stars Will Shine Tonight)	10	14
125	Tuff	12	23
126	Lover Please	31	47
127	I Know (You Don't Love Me No More)	22	15
128	Young World	24	56
129	Baby It's You	48	55
130	Speedy Gonzales	40	45
131	A Little Bitty Tear	21	64
132	Crying in the Rain	51	61
133	Al di là	32	24
134	Shout! Shout! (Knock Yourself Out)	31	19
135	Smoky Places	3	4
136	Having a Party	45	70
137	Green Onions	64	58
138	You Don't Know Me	42	68
139	Sherry	59	64
140	Johnny Get Angry	28	24
141	Shout	16	33
142	Rinky Dink	19	27
143	Moon River	53	55
144	Ahab the Arab	29	41
145	Things	33	61
146	(The Man Who Shot) Liberty Valance	39	46
147	You Belong to Me	10	34
148	Dream Baby (How Long Must I Dream)	43	68
149	Snap Your Fingers	11	46
150	Lovers Who Wander	40	77
151	You Beat Me to the Punch	43	57
152	Uptown	24	53
153	Everybody Loves Me But You	21	67
154	Patches	17	24
155	Venus in Blue Jeans	18	27
156	Love Me Warm and Tender	32	63
157	Dear One	29	18
158	Her Royal Majesty	10	29
159	Old Rivers	20	17
160	Funny Way of Laughin'	3	64
161	A Swingin' Safari	12	47
162	Tell Me	10	17
163	PT-109	0	43
164	Little Diane	26	77
165	Percolator (Twist)	7	5
166	Twist, Twist, Señora	8	32
167	Twistin' Matilda	13	33
168	Gravy (For My Mashed Potatoes)	34	35
169	Walk on the Wild Side	29	48
170	Soul Twist	13	41
171	Where Have All the Flowers Gone?	37	41
172	(Girls, Girls, Girls) Made to Love	13	28
173	Town Without Pity	39	46
174	If I Had a Hammer	47	55
175	I Wish That We Were Married	6	0
176	Surfin' Safari	47	74
177	Surfin' U.S.A.	68	74
178	The End of the World	57	48
179	Rhythm of the Rain	58	49
180	Blue Velvet	62	58
181	Hey Paula	41	33
182	My Boyfriend's Back	48	52
183	Sukiyaki	47	39
184	So Much in Love	38	34
185	Puff, the Magic Dragon	53	55
186	Blowin' in the Wind	44	55
187	Wipe Out	42	41
188	I Love You Because	23	46
189	Wild Weekend	16	34
190	Walk Like a Man	57	64
191	Mockingbird	28	18
192	I Will Follow Him	47	36
193	Pipeline	37	32
194	Surf City	45	43
195	It's My Party	8	53
196	Blame It on the Bossa Nova	21	55
197	You Can't Sit Down	19	28
198	Heat Wave	61	61
199	Denise	41	30
200	Walk Right In	40	28
201	If You Wanna Be Happy	46	33
202	If I Had a Hammer	36	41
203	Easier Said Than Done	1	32
204	Ruby Baby	42	77
205	Our Day Will Come	37	26
206	Hello Stranger	48	42
207	Be My Baby	70	63
208	South Street	15	29
209	Days of Wine and Roses	22	55
210	The Monkey Time	29	50
211	Candy Girl	38	64
212	Sugar Shack	43	30
213	Still	35	39
214	Blue on Blue	39	58
215	Cry Baby	32	26
216	Two Faces Have I	30	35
217	Busted	24	68
218	Da Doo Ron Ron	55	53
219	Foolish Little Girl	35	55
220	Memphis	20	34
221	In Dreams	55	68
222	More	24	30
223	I Can't Stay Mad at You	23	48
224	Losing You	31	67
225	Mean Woman Blues	37	68
226	Our Winter Love	15	11
227	I Wanna Be Around	34	70
228	Sally Go 'Round the Roses	33	21
229	Those Lazy-Hazy-Crazy Days of Summer	42	72
230	Baby Workout	34	62
231	Pride and Joy	36	75
232	Deep Purple	35	24
233	From a Jack to a King	29	28
234	Up on the Roof	55	62
235	What Will My Mary Say	18	61
236	Mama Didn't Lie	25	14
237	The Night Has a Thousand Eyes	42	53
238	Ring of Fire	68	78
239	Just One Look	44	35
240	Hello Muddah, Hello Fadduh (A Letter from Camp)	23	30
241	Tie Me Kangaroo Down, Sport	25	29
242	Washington Square	22	23
243	Donna the Prima Donna	39	77
244	That Sunday, That Summer	26	72
245	Another Saturday Night	52	70
246	Painted, Tainted Rose	11	46
247	Go Away Little Girl	25	35
248	Take These Chains from My Heart	21	68
249	Talk to Me	21	18
250	Come and Get These Memories	28	61
251	Do the Bird	18	35
252	Shut Down	29	74
253	One Fine Day	58	49
254	Little Town Flirt	27	51
255	Fly Me to the Moon	20	21
256	The Reverend Mr. Black	4	41
257	Martian Hop	25	14
258	Wonderful! Wonderful!	15	34
259	Abilene	38	30
260	Part Time Love	5	17
261	Maria Elena	40	43
262	Detroit City	42	49
263	Twenty Miles	16	54
264	Green, Green	25	31
265	Hey Girl	25	36
266	I Want to Hold Your Hand	73	88
267	She Loves You	66	88
268	Hello, Dolly!	48	72
269	Oh, Pretty Woman	69	68
270	I Get Around	64	74
271	Everybody Loves Somebody	59	72
272	My Guy	64	57
273	Last Kiss	39	26
274	Where Did Our Love Go	62	67
275	People	37	68
276	Java	29	39
277	A Hard Day's Night	67	88
278	Love Me Do	67	88
279	Do Wah Diddy Diddy	63	58
280	Please Please Me	59	88
281	Dancing in the Street	54	61
282	Little Children	0	6
283	Under the Boardwalk	65	62
284	Chapel of Love	56	48
285	Suspicion	39	28
286	Glad All Over	15	29
287	Bread and Butter	40	28
288	It Hurts to Be in Love	32	46
289	Dead Man's Curve	38	43
290	Come a Little Bit Closer	67	55
291	A World Without Love	42	40
292	Have I the Right?	37	31
293	Baby Love	66	67
294	Wishin' and Hopin'	40	64
295	You Don't Own Me	57	53
296	Walk On By	60	63
297	The House of the Rising Sun	68	67
298	G.T.O.	34	23
299	Twist and Shout	74	88
300	Memphis	40	46
301	White On White	19	25
302	Hey Little Cobra	27	20
303	The Shoop Shoop Song (It's in His Kiss)	41	42
304	Bits and Pieces	0	29
305	My Boy Lollipop	35	38
306	Um, Um, Um, Um, Um, Um	49	50
307	The Little Old Lady from Pasadena	39	43
308	A Summer Song	48	39
309	The Girl from Ipanema	12	26
310	Can't Buy Me Love	0	88
311	Remember (Walking in the Sand)	17	45
312	Do You Want to Know a Secret	59	88
313	Keep On Pushing	38	53
314	Baby I Need Your Loving	0	18
315	Navy Blue	26	16
316	Diane	16	33
317	Out of Limits	49	37
318	Little Honda	5	14
319	Chug-a-Lug	43	53
320	See the Funny Little Clown	23	47
321	Because	27	29
322	(Just Like) Romeo and Juliet	26	0
323	Today	26	31
324	Leader of the Pack	52	45
325	Funny How Time Slips Away	12	8
326	The Way You Do the Things You Do	63	70
327	Anyone Who Had a Heart	39	63
328	I Love You More and More Every Day	24	46
329	Surfin' Bird	48	43
330	What Kind of Fool (Do You Think I Am)	29	33
331	The Door Is Still Open to My Heart	38	72
332	You Really Got Me	70	69
333	The Shelter of Your Arms	14	54
334	I Wanna Love Him So Bad	17	7
335	Dang Me	44	53
336	Cotton Candy	20	39
337	(You Don't Know) How Glad I Am	37	55
338	Money (That's What I Want)	32	53
339	Hi-Heel Sneakers	7	22
340	How Do You Do It?	25	51
341	Walk, Don't Run '64	22	49
342	Do You Love Me	0	29
343	Shangri-La	17	17
344	Haunted House	31	21
